"var","date","values"
"active",2020-02-28,1
"active",2020-02-29,1
"active",2020-03-01,1
"active",2020-03-02,1
"active",2020-03-03,1
"active",2020-03-04,1
"active",2020-03-05,1
"active",2020-03-06,1
"active",2020-03-07,1
"active",2020-03-08,1
"active",2020-03-09,1
"active",2020-03-10,3
"active",2020-03-11,3
"active",2020-03-12,3
"active",2020-03-13,6
"active",2020-03-14,8
"active",2020-03-15,11
"active",2020-03-16,17
"active",2020-03-17,20
"confirmed",2020-02-28,1
"confirmed",2020-02-29,1
"confirmed",2020-03-01,1
"confirmed",2020-03-02,1
"confirmed",2020-03-03,1
"confirmed",2020-03-04,1
"confirmed",2020-03-05,1
"confirmed",2020-03-06,1
"confirmed",2020-03-07,1
"confirmed",2020-03-08,1
"confirmed",2020-03-09,1
"confirmed",2020-03-10,3
"confirmed",2020-03-11,3
"confirmed",2020-03-12,3
"confirmed",2020-03-13,6
"confirmed",2020-03-14,9
"confirmed",2020-03-15,12
"confirmed",2020-03-16,18
"confirmed",2020-03-17,21
"recovered",2020-02-28,0
"recovered",2020-02-29,0
"recovered",2020-03-01,0
"recovered",2020-03-02,0
"recovered",2020-03-03,0
"recovered",2020-03-04,0
"recovered",2020-03-05,0
"recovered",2020-03-06,0
"recovered",2020-03-07,0
"recovered",2020-03-08,0
"recovered",2020-03-09,0
"recovered",2020-03-10,0
"recovered",2020-03-11,0
"recovered",2020-03-12,0
"recovered",2020-03-13,0
"recovered",2020-03-14,1
"recovered",2020-03-15,1
"recovered",2020-03-16,1
"recovered",2020-03-17,1
